Carrera;Edad;Trabajo;Beca;Genero;EstadoCivil;CantidadHijos;Prom_cAplazo;A/P;Desemp1R;Desemp2N;Desemp3RN
CPN;23;S;N;F;Soltero;0;8,88;5,67;1;1;1
LE;24;N;N;M;Soltero;0;7,04;3,67;0;1;0
CPN;25;N;S;F;Soltero;0;7,32;3,67;0;1;0
CPN;23;N;N;F;Soltero;0;5,97;3,00;0;0;0
LA;25;N;N;M;Soltero;0;6,43;2,67;0;0;0
CPN;24;S;N;F;Soltero;0;5,78;4,50;1;0;0
CPN;23;S;N;M;Soltero;0;7,03;5,33;1;1;1
CPN;23;S;N;M;Soltero;0;8,06;5,50;1;1;1
CPN;23;N;N;M;Soltero;0;7,24;6,00;1;1;1
CPN;23;N;N;M;Soltero;0;6,41;3,33;0;0;0
LA;24;N;N;M;Soltero;0;8,13;5,00;1;1;1
LA;25;S;N;F;Soltero;0;7,17;5,67;1;1;1
CPN;23;N;N;F;Soltero;0;6,84;5,00;1;0;1
CPN;25;N;N;M;Soltero;0;5,87;3,50;0;0;0
CPN;25;N;S;F;Soltero;0;6,03;4,17;1;0;0
CPN;23;S;N;M;Soltero;0;6,49;5,67;1;0;1
LE;23;N;N;F;Soltero;0;8,59;5,33;1;1;1
CPN;24;N;N;M;Soltero;0;5,92;3,17;0;0;0
LA;26;N;N;M;Soltero;0;7,24;6,00;1;1;1
CPN;24;N;N;M;Soltero;0;7,57;5,50;1;1;1
CPN;24;N;N;M;Soltero;0;5,98;4,50;1;0;0
LA;24;S;N;M;Soltero;0;7,13;5,20;1;1;1
CPN;24;N;N;F;Soltero;0;5,35;3,33;0;0;0
CPN;26;N;N;F;Soltero;0;7,03;4,33;1;1;1
CPN;24;N;N;M;Soltero;0;6,41;2,83;0;0;0
LA;24;N;N;F;Soltero;0;8,88;6,00;1;1;1
CPN;23;N;N;F;Soltero;0;5,54;2,33;0;0;0
CPN;23;N;N;F;Soltero;0;6,53;5,17;1;0;1
CPN;23;N;N;M;Soltero;0;8,47;5,50;1;1;1
CPN;23;N;N;F;Soltero;0;6,5;2,33;0;0;0
CPN;24;N;N;M;Soltero;0;8;5,00;1;1;1
CPN;24;N;S;M;Soltero;0;6,05;4,17;1;0;0
CPN;24;S;N;F;Soltero;0;6,44;4,33;1;0;0
CPN;24;N;N;F;Soltero;0;6,35;3,83;0;0;0
CPN;23;N;N;F;Soltero;0;7,06;4,67;1;1;1
LA;24;S;N;F;Soltero;0;6,83;3,17;0;0;0
CPN;24;N;N;M;Soltero;0;6,26;4,00;1;0;0
LA;25;S;N;F;Soltero;0;7,08;4,67;1;1;1
CPN;26;N;N;F;Soltero;0;6,34;3,00;0;0;0
CPN;24;N;N;F;Soltero;0;7,88;5,00;1;1;1
LA;23;S;N;M;Soltero;0;7,69;4,00;1;1;1
CPN;23;N;N;M;Soltero;0;5,58;3,67;0;0;0
CPN;25;N;N;F;Soltero;2;5,17;3,00;0;0;0
CPN;24;N;N;M;Soltero;0;5,9;2,83;0;0;0
CPN;26;N;N;F;Soltero;0;5,63;0,83;0;0;0
LA;24;N;N;F;Soltero;0;6,6;5,33;1;0;1
CPN;24;S;N;M;Soltero;0;6,54;5,17;1;0;1
CPN;24;N;N;F;Soltero;0;7,82;6,00;1;1;1
CPN;24;S;N;F;Soltero;0;5,54;2,17;0;0;0
LA;24;S;N;F;Soltero;0;6,64;4,50;1;0;1
CPN;23;N;N;M;Soltero;0;5,92;2,83;0;0;0
LA;25;N;S;F;Soltero;0;5,54;2,67;0;0;0
CPN;24;N;N;M;Soltero;0;6,45;4,50;1;0;1
CPN;23;N;N;F;Soltero;0;6,03;3,50;0;0;0
CPN;24;S;N;F;Soltero;0;7;4,67;1;1;1
CPN;25;N;N;F;Soltero;0;7,73;2,50;0;1;0
CPN;28;S;N;M;Soltero;0;5,04;1,83;0;0;0
CPN;23;N;N;F;Soltero;0;7,97;5,67;1;1;1
LA;24;S;N;M;Soltero;0;7,44;4,67;1;1;1
LA;24;S;N;F;Soltero;0;5,38;2,33;0;0;0
LA;23;S;N;M;Casado;1;7,56;5,00;1;1;1
CPN;26;S;N;M;Soltero;0;6,2;4,67;1;0;1
LA;24;N;N;F;Soltero;0;6,85;3,00;0;0;0
CPN;24;N;N;F;Soltero;0;6,6;5,17;1;0;1
CPN;24;N;N;F;Soltero;0;6,78;5,33;1;0;1
CPN;23;N;S;F;Soltero;0;7,9;4,50;1;1;1
LA;27;S;N;M;Soltero;0;7,94;6,00;1;1;1
CPN;23;N;N;F;Soltero;0;5,63;3,50;0;0;0
LLO;24;S;N;M;Soltero;0;4,67;1,33;0;0;0
CPN;23;S;N;F;Soltero;0;8,06;5,00;1;1;1
CPN;26;S;N;M;Soltero;0;4,56;1,83;0;0;0
CPN;26;N;N;F;Soltero;0;6,72;4,00;1;0;0
LA;24;N;N;F;Soltero;0;7,32;6,00;1;1;1
CPN;24;N;N;M;Soltero;0;7,24;5,33;1;1;1
CPN;23;S;N;F;Soltero;0;8;4,33;1;1;1
CPN;23;N;N;M;Soltero;0;6;2,67;0;0;0
CPN;24;N;N;F;Soltero;0;6,7;5,67;1;0;1
LE;24;N;N;M;Soltero;0;7,07;4,17;1;1;1
CPN;23;N;N;F;Soltero;0;6,5;3,00;0;0;0
LA;24;N;N;F;Soltero;0;7,9;5,33;1;1;1
CPN;25;N;N;F;Soltero;0;5,87;2,17;0;0;0
LA;23;N;S;F;Soltero;3;7,31;5,33;1;1;1
CPN;23;N;S;F;Soltero;3;5,38;0,80;0;0;0
CPN;27;N;N;M;Soltero;0;6,16;2,50;0;0;0
LA;31;S;N;F;Casado;0;6,75;2,17;0;0;0
CPN;26;N;N;M;Soltero;0;6,78;3,50;0;0;0
LA;23;N;N;F;Soltero;0;8,47;6,00;1;1;1
LE;23;N;N;M;Soltero;0;7,35;4,67;1;1;1
LA;24;N;N;F;Soltero;0;7,23;5,67;1;1;1
CPN;24;N;N;F;Soltero;0;6;3,00;0;0;0
CPN;24;N;N;M;Soltero;0;6,15;4,50;1;0;0
LA;25;S;N;M;Soltero;0;7,49;5,33;1;1;1
CPN;28;N;N;F;Soltero;3;7,12;6,17;1;1;1
CPN;24;N;N;F;Soltero;0;8;5,67;1;1;1
CPN;23;S;N;M;Soltero;0;6,11;4,33;1;0;0
LA;24;N;N;F;Soltero;0;7,97;5,50;1;1;1
LA;23;S;N;M;Soltero;0;7,6;1,50;0;1;0
CPN;24;N;N;F;Soltero;0;6,41;5,83;1;0;1
CPN;24;N;N;F;Soltero;0;5,9;4,00;1;0;0
CPN;24;N;N;F;Soltero;0;6;3,50;0;0;0
CPN;23;N;S;F;Soltero;0;6,33;4,33;1;0;0
CPN;24;N;N;F;Soltero;0;6,18;4,00;1;0;0
LA;23;N;S;F;Soltero;0;7,68;6,00;1;1;1
CPN;23;N;S;F;Soltero;0;7,17;1,20;0;1;0
CPN;24;N;N;M;Soltero;0;7,04;3,50;0;1;0
CPN;23;N;N;F;Soltero;0;5,21;2,83;0;0;0
CPN;27;S;N;F;Soltero;0;5,95;1,50;0;0;0
CPN;24;N;N;F;Soltero;0;5,91;3,17;0;0;0
CPN;24;N;N;F;Soltero;0;5,35;1,83;0;0;0
LA;25;S;N;M;Soltero;0;6,96;3,17;0;0;0
CPN;24;S;N;M;Soltero;0;7,48;3,83;0;1;1
CPN;24;S;N;M;Soltero;0;8,03;5,83;1;1;1
CPN;24;S;N;F;Soltero;0;6,03;4,50;1;0;0
CPN;24;S;S;M;Soltero;0;6,14;4,00;1;0;0
LE;23;N;N;M;Soltero;0;6,53;4,17;1;0;0
LE;23;N;N;F;Soltero;0;7,8;5,33;1;1;1
CPN;23;N;N;M;Soltero;0;5,68;3,00;0;0;0
CPN;25;N;N;M;Soltero;0;6,37;2,17;0;0;0
LE;27;N;N;M;Soltero;0;8,14;5,50;1;1;1
CPN;24;S;N;M;Soltero;0;6,3;4,50;1;0;1
CPN;25;S;S;F;Soltero;0;7,24;6,17;1;1;1
CPN;23;N;N;F;Soltero;0;7,61;5,50;1;1;1
CPN;25;N;N;F;Soltero;0;6,96;3,33;0;0;0
LA;25;N;N;F;Soltero;0;6,78;3,33;0;0;0
CPN;24;N;N;M;Soltero;0;7,69;5,83;1;1;1
CPN;26;N;N;M;Soltero;0;5,5;3,00;0;0;0
CPN;24;N;N;M;Soltero;0;6,44;4,33;1;0;0
LA;28;S;N;M;Soltero;0;5,9;2,20;0;0;0
CPN;23;N;N;F;Soltero;0;6,43;5,00;1;0;1
CPN;24;S;N;F;Soltero;0;8,23;5,67;1;1;1
LA;23;N;N;M;Soltero;0;6,7;4,33;1;0;1
LA;24;N;N;F;Soltero;0;6,43;5,00;1;0;1
LA;25;N;N;M;Soltero;0;6,41;3,60;0;0;0
CPN;25;N;N;M;Soltero;0;9;0,33;0;1;0
CPN;23;S;N;F;Soltero;0;6,67;4,67;1;0;1
LE;23;S;N;F;Soltero;0;7;3,67;0;1;0
LA;24;N;N;F;Soltero;0;8,28;4,50;1;1;1
CPN;25;N;S;F;Soltero;0;7,14;4,00;1;1;1
LA;24;N;N;M;Soltero;0;7,7;5,50;1;1;1
CPN;23;N;N;F;Soltero;0;6,17;3,67;0;0;0
CPN;25;S;N;M;Soltero;0;6,35;1,83;0;0;0
CPN;41;S;N;F;Otro;2;6,28;2,50;0;0;0
CPN;25;S;N;F;Soltero;0;6,29;1,67;0;0;0
CPN;25;N;N;M;Soltero;0;7,29;4,33;1;1;1
CPN;26;N;N;F;Soltero;0;6,11;1,67;0;0;0
CPN;25;N;N;F;Soltero;0;7,54;3,83;0;1;1
CPN;23;N;N;F;Soltero;0;7,36;4,50;1;1;1
LA;24;N;N;M;Soltero;0;5,85;4,50;1;0;0
CPN;24;S;N;M;Soltero;0;5,84;2,83;0;0;0
LA;23;N;N;M;Soltero;0;7,4;6,00;1;1;1
LA;23;N;N;F;Soltero;0;6,72;7,00;1;0;1
LA;23;S;N;M;Soltero;0;6;1,50;0;0;0
CPN;23;S;N;F;Soltero;0;7,63;2,83;0;1;0
LA;23;N;N;M;Soltero;0;6,56;5,33;1;0;1
CPN;23;S;N;F;Soltero;0;7;5,50;1;1;1
CPN;25;N;N;F;Soltero;0;5,64;2,17;0;0;0
CPN;23;N;N;F;Soltero;0;6,81;4,83;1;0;1
CPN;24;N;N;F;Soltero;0;6,7;4,00;1;0;0
CPN;25;N;N;M;Soltero;0;6,95;2,83;0;0;0
CPN;31;S;N;M;Soltero;0;4,61;2,00;0;0;0
CPN;23;N;N;M;Soltero;0;6,68;3,83;0;0;0
CPN;23;S;N;M;Soltero;0;6,04;2,67;0;0;0
LA;23;N;N;F;Soltero;0;6,76;4,67;1;0;1
LA;24;N;N;F;Soltero;0;7,03;5,50;1;1;1
LE;24;N;N;F;Soltero;0;7,37;5,50;1;1;1
