,Carrera,Edad,Trabajo,Beca,Genero,EstadoCivil,CantidadHijos,Prom_cAplazo,A/P,Desemp1R,Desemp2N,Desemp3RN
175,CPN,25,S,S,F,Soltero,0,5.55,3.0,0,0,0
176,CPN,25,N,N,F,Soltero,0,6.31,3.142857142857143,0,0,0
177,CPN,24,N,N,F,Soltero,0,5.9,2.5714285714285716,0,0,0
178,LA,25,N,N,M,Soltero,0,6.4,4.428571428571429,1,0,1
179,CPN,25,N,S,F,Soltero,0,6.91,4.0,1,0,0
180,CPN,25,N,N,M,Soltero,0,6.53,3.5714285714285716,0,0,0
181,CPN,25,S,N,F,Soltero,0,5.36,2.5,0,0,0
182,CPN,27,S,N,F,Soltero,0,6.39,4.5,1,0,1
183,CPN,24,N,N,F,Soltero,0,5.92,4.0,1,0,0
184,CPN,24,N,S,F,Soltero,0,6.63,3.6666666666666665,0,0,0
185,CPN,25,N,S,F,Soltero,0,6.36,3.0,0,0,0
186,LA,24,S,N,M,Soltero,0,5.63,1.8333333333333333,0,0,0
187,CPN,24,N,N,M,Soltero,0,6.48,5.666666666666667,1,0,1
188,LE,25,N,N,F,Soltero,0,7.04,3.1666666666666665,0,1,0
189,LA,24,S,N,M,Soltero,0,6.59,4.333333333333333,1,0,1
190,CPN,24,S,N,M,Soltero,0,6.27,2.0,0,0,0
191,CPN,24,N,N,F,Soltero,0,8.11,5.666666666666667,1,1,1
192,CPN,23,N,S,F,Soltero,0,5.4,3.8333333333333335,0,0,0
193,LA,23,N,S,F,Soltero,0,5.73,5.666666666666667,1,0,1
194,LA,24,N,N,F,Soltero,0,8.1,4.666666666666667,1,1,1
195,CPN,25,N,N,F,Soltero,0,6.22,4.166666666666667,1,0,0
196,LA,23,N,N,M,Soltero,0,7.9,5.0,1,1,1
197,CPN,24,N,S,F,Soltero,0,6.04,2.6666666666666665,0,0,0
198,LA,23,N,N,M,Soltero,0,7.2,3.3333333333333335,0,1,0
199,CPN,23,N,N,F,Soltero,0,7.31,5.333333333333333,1,1,1
200,CPN,23,S,N,F,Soltero,0,6.55,3.8333333333333335,0,0,0
201,CPN,24,N,N,M,Soltero,0,6.48,2.6666666666666665,0,0,0
202,CPN,24,N,N,M,Soltero,0,6.15,3.8333333333333335,0,0,0
203,CPN,24,N,S,M,Soltero,0,6.38,3.5,0,0,0
204,CPN,24,N,N,M,Soltero,0,7.21,5.5,1,1,1
205,CPN,24,N,N,F,Soltero,0,6.32,4.833333333333333,1,0,1
206,LA,24,N,N,M,Soltero,3,6.28,3.5,0,0,0
207,LE,24,N,N,M,Soltero,0,7.3,5.333333333333333,1,1,1
208,LA,25,N,N,F,Soltero,0,6.77,4.166666666666667,1,0,1
209,CPN,25,N,N,F,Soltero,0,5.67,0.6,0,0,0
210,CPN,24,N,N,F,Soltero,0,7.66,5.666666666666667,1,1,1
211,LA,24,N,N,M,Soltero,0,6.87,4.5,1,0,1
212,LA,24,N,N,F,Soltero,0,7.43,5.5,1,1,1
213,CPN,23,S,N,M,Soltero,0,6.1,4.0,1,0,0
214,CPN,30,N,S,F,Soltero,0,6.47,4.333333333333333,1,0,1
215,CPN,30,N,S,F,Soltero,0,7.39,4.666666666666667,1,1,1
216,LA,23,N,N,M,Soltero,0,7.42,5.333333333333333,1,1,1
217,LA,24,S,N,M,Soltero,0,7.0,6.5,1,1,1
218,CPN,24,S,N,F,Soltero,0,6.46,4.5,1,0,1
219,CPN,23,S,N,F,Soltero,0,7.12,3.1666666666666665,0,1,0
220,CPN,23,S,S,F,Soltero,0,8.13,4.833333333333333,1,1,1
221,CPN,24,N,N,F,Soltero,0,7.18,5.666666666666667,1,1,1
222,LA,24,N,N,F,Soltero,0,6.56,4.666666666666667,1,0,1
223,CPN,25,N,N,F,Soltero,0,6.38,3.3333333333333335,0,0,0
224,CPN,24,N,N,M,Soltero,0,7.77,5.333333333333333,1,1,1
225,CPN,24,N,N,M,Soltero,0,7.18,5.666666666666667,1,1,1
226,CPN,25,N,N,F,Soltero,0,6.37,2.3333333333333335,0,0,0
227,CPN,23,N,N,F,Soltero,0,6.76,4.5,1,0,1
228,CPN,24,N,N,M,Soltero,0,6.1,4.0,1,0,0
229,CPN,23,S,N,M,Soltero,0,5.63,3.8333333333333335,0,0,0
230,CPN,24,S,S,F,Soltero,0,6.76,3.1666666666666665,0,0,0
231,LA,23,N,N,F,Soltero,0,7.59,5.333333333333333,1,1,1
232,CPN,23,S,N,M,Soltero,0,8.14,5.833333333333333,1,1,1
233,CPN,25,N,N,F,Soltero,0,6.18,3.5,0,0,0
234,CPN,23,N,N,M,Soltero,0,6.6,4.5,1,0,1
235,CPN,24,N,N,F,Soltero,0,6.92,5.166666666666667,1,0,1
