ID,Carrera,Edad,AyudaFamiliar,PlanSocial,Trabajo,Beca,HsTrabSem,Genero,EstadoCivil,SituacionPadre,SituacionMadre,CantidadHijos,ViveCon,CP,Aprobadas,Reprobadas,Prom_cAplazo,Plazo, A/P ,DesempR,DesempC
250,CPN,25,N,S,N,N,0,F,1,0,0,0,3,5500,25,15,6.03,7,  3.57 ,  21.54 ,0
251,LA,25,S,N,S,N,,M,1,,,,3,5500,28,10,6.55,7,  4.00 ,  26.20 ,1
253,LE,25,S,N,S,S,,F,1,0,0,0,3,5519,44,10,8.29,7,  6.29 ,  52.11 ,1
253,LA,25,S,N,S,S,,F,1,0,0,0,3,5519,25,1,8.04,7,  3.57 ,  28.71 ,1
254,CPN,25,S,N,N,N,0,M,1,0,0,0,4,5547,33,8,6.8,7,  4.71 ,  32.06 ,1
256,LA,24,S,N,S,N,3,F,1,0,0,0,3,5507,13,13,5.73,3,  4.33 ,  24.83 ,1
258,CPN,24,N,S,S,N,1,F,1,0,0,0,3,5523,13,13,5.96,7,  1.86 ,  11.07 ,0
259,CPN,24,N,S,S,N,4,M,1,0,0,0,3,5603,22,10,6.38,7,  3.14 ,  20.05 ,0
260,LA,25,S,N,N,N,0,F,1,0,0,0,3,5560,23,16,6.08,7,  3.29 ,  19.98 ,0
262,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5557,21,2,7.61,7,  3.00 ,  22.83 ,0
263,CPN,25,S,N,N,N,0,F,1,0,0,0,1,5509,32,11,6.77,7,  4.57 ,  30.95 ,1
264,CPN,25,S,N,N,N,0,F,1,1,0,0,3,5570,33,8,7,7,  4.71 ,  33.00 ,1
265,CPN,24,S,N,S,N,2,F,1,0,0,0,3,5570,33,3,7.58,7,  4.71 ,  35.73 ,1
266,CPN,25,N,S,S,N,1,F,1,0,0,0,3,5521,26,10,6.78,7,  3.71 ,  25.18 ,1
267,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5539,21,11,6.19,7,  3.00 ,  18.57 ,0
269,CPN,24,S,N,N,N,0,F,1,1,0,0,1,5544,33,13,6.33,7,  4.71 ,  29.84 ,1
270,CPN,26,S,N,S,N,,M,1,0,0,0,4,5507,19,7,6.46,7,  2.71 ,  17.53 ,0
271,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5513,20,15,5.69,7,  2.86 ,  16.26 ,0
274,CPN,25,S,N,S,N,3,M,1,0,0,0,3,5533,22,15,6.11,7,  3.14 ,  19.20 ,0
275,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5539,36,4,7.95,7,  5.14 ,  40.89 ,1
276,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5521,19,9,6.14,7,  2.71 ,  16.67 ,0
278,CPN,47,N,N,S,N,1,M,2,0,0,0,4,5519,17,2,8.16,7,  2.43 ,  19.82 ,0
280,CPN,25,S,N,N,N,0,F,1,1,0,0,3,5531,18,6,7.17,7,  2.57 ,  18.44 ,0
281,CPN,26,S,N,N,N,0,F,1,0,0,0,1,5503,28,19,5.96,7,  4.00 ,  23.84 ,0
282,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5511,24,17,6.32,7,  3.43 ,  21.67 ,0
285,CPN,24,S,N,N,N,0,F,1,0,0,0,2,5570,30,13,6.43,7,  4.29 ,  27.56 ,1
286,CPN,25,S,S,S,S,4,F,1,0,0,0,3,5501,21,17,5.55,7,  3.00 ,  16.65 ,0
288,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5513,22,13,6.31,7,  3.14 ,  19.83 ,0
292,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5519,18,12,5.9,7,  2.57 ,  15.17 ,0
295,LA,25,S,N,N,N,0,M,1,0,1,0,3,5539,31,12,6.4,7,  4.43 ,  28.34 ,1
297,CPN,25,S,N,N,S,0,F,1,0,0,0,3,5501,28,7,6.91,7,  4.00 ,  27.64 ,1
300,CPN,25,S,S,N,N,0,M,1,0,0,0,3,5501,25,11,6.53,7,  3.57 ,  23.32 ,0
321,CPN,25,S,N,S,N,1,F,1,0,1,0,4,5525,15,14,5.36,6,  2.50 ,  13.40 ,0
322,CPN,27,N,N,S,N,3,F,1,0,0,0,3,5539,27,12,6.39,6,  4.50 ,  28.76 ,1
324,CPN,24,S,N,N,N,0,F,1,0,0,0,3,5505,24,13,5.92,6,  4.00 ,  23.68 ,0
325,CPN,24,S,N,N,S,0,F,1,0,0,0,3,5539,22,10,6.63,6,  3.67 ,  24.31 ,1
327,CPN,25,N,N,N,S,0,F,1,0,0,0,3,5519,18,10,6.36,6,  3.00 ,  19.08 ,0
